,locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,cities,updateTime
123,0,北美洲,North America,安圭拉,,安圭拉,,安圭拉,3,3,0,0,0,,,1586261007854
124,0,大洋洲,Oceania,北马里亚纳群岛联邦,,北马里亚纳群岛联邦,,北马里亚纳群岛联邦,7,8,0,0,1,,,1586261007854
125,953006,亚洲,Asia,巴基斯坦,Pakistan,巴基斯坦,Pakistan,巴基斯坦,3349,3658,0,257,52,,,1586261007854
126,985009,非洲,Africa,坦桑尼亚,Tanzania,坦桑尼亚,Tanzania,坦桑尼亚,18,24,0,5,1,,,1586261007854
127,955006,亚洲,Asia,格鲁吉亚,Georgia,格鲁吉亚,Georgia,格鲁吉亚,154,195,0,39,2,,,1586261007854
128,982008,非洲,Africa,几内亚比绍,,几内亚比绍,,几内亚比绍,33,33,0,0,0,,,1586261007854
129,955002,亚洲,Asia,亚美尼亚,Armenia,亚美尼亚,Armenia,亚美尼亚,758,853,0,87,8,,,1586261007854
130,984006,非洲,Africa,马拉维,Malawi,马拉维,Malawi,马拉维,7,8,0,0,1,,,1586261007854
131,955011,亚洲,Asia,科威特,Kuwait,科威特,Kuwait,科威特,637,743,0,105,1,,,1586261007854
132,984011,非洲,Africa,南非,South Africa,南非,South Africa,南非,1630,1686,0,45,11,,,1586261007854
133,965005,欧洲,Europe,克罗地亚,Croatia,克罗地亚,Croatia,克罗地亚,1077,1222,0,130,15,,,1586261007854
134,961003,欧洲,Europe,爱尔兰,Ireland,爱尔兰,Ireland,爱尔兰,5190,5364,0,0,174,,,1586261007854
135,0,北美洲,North America,荷属圣马丁,,荷属圣马丁,,荷属圣马丁,21,23,0,0,2,,,1586261007854
136,0,北美洲,North America,格林那达,,格林那达,,格林那达,12,12,0,0,0,,,1586261007854
137,974009,北美洲,North America,牙买加,Jamaica,牙买加,Jamaica,牙买加,52,55,0,0,3,,,1586261007854
138,953003,亚洲,Asia,印度,India,印度,India,印度,3981,4421,0,326,114,,,1586261007854
139,953007,亚洲,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,斯里兰卡,132,180,0,42,6,,,1586261007854
140,955007,亚洲,Asia,伊朗,Iran,伊朗,Iran,伊朗,31678,62589,0,27039,3872,,,1586261007854
141,965012,欧洲,Europe,圣马力诺,San Marino,圣马力诺,San Marino,圣马力诺,232,266,0,2,32,,,1586261007854
142,0,南美洲,South America,委内瑞拉,Venezuela,委内瑞拉,Venezuela,委内瑞拉,141,144,0,0,3,,,1586261007854
143,0,欧洲,Europe,直布罗陀,Gibraltar,直布罗陀,Gibraltar,直布罗陀,102,103,0,0,1,,,1586261007854
144,0,南美洲,South America,法属圭亚那,French Guiana,法属圭亚那,French Guiana,法属圭亚那,66,66,0,0,0,,,1586261007854
145,955012,亚洲,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,黎巴嫩,469,548,0,60,19,,,1586261007854
146,0,欧洲,Europe,根西岛,Guernsey,根西岛,Guernsey,根西岛,151,154,0,0,3,,,1586261007854
147,0,北美洲,North America,阿鲁巴,,阿鲁巴,,阿鲁巴,64,64,0,0,0,,,1586261007854
148,0,大洋洲,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,法属波利尼西亚,41,41,0,0,0,,,1586261007854
149,965007,欧洲,Europe,希腊,Greece,希腊,Greece,希腊,1657,1755,0,19,79,,,1586261007854
150,981004,非洲,Africa,摩洛哥,Morocco,摩洛哥,Morocco,摩洛哥,970,1141,0,88,83,,,1586261007854
151,952002,亚洲,Asia,文莱,Brunei,文莱,Brunei,文莱,69,135,0,65,1,,,1586261007854
152,974002,北美洲,North America,巴哈马,Bahamas,巴哈马,Bahamas,巴哈马,24,28,0,0,4,,,1586261007854
153,981007,非洲,Africa,南苏丹,,南苏丹,,南苏丹,1,1,0,0,0,,,1586261007854
154,984010,非洲,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,斯威士兰,7,10,0,3,0,,,1586261007854
155,953005,亚洲,Asia,尼泊尔,Nepal,尼泊尔,Nepal,尼泊尔,8,9,0,1,0,,,1586261007854
